  X101_PU	X102_PU	X103_PU	X104_PU	X105_PU	X106_PU	X107_PU1	X107_PU2	X108_PU	X109_PU	X110_PU	X111_PU	X112_PU	X113_PU	X114_PU	X115_PU	X116_PU	X117_PU	X118_PU	X119_PU	X120_PU	X121_PU	X122_PU	X123_PU	X124_PU	X125_PU	X126_PU	X127_PU	X128_PU	X129_PU	X130_PU	X131_PU	X132_PU	X133_PU	X134_PU	X135_PU	X136_PU	X137_PU	X138_PU	X139_PU	X140_PU	X141_PU	X142_PU	X143_PU	X144_PU	X145_PU	X146_PU	X147_PU	X148_PU	X149_PU	X150_PU	X151_PU	X152_PU	X153_PU	X154_PU	X155_PU	X156_PU	X157_PU	X158_PU	X159_PU	X160_PU	X161_PU	X162_PU	X163_PU	X164_PU	X165_PU	X166_PU	X167_PU	X168_PU	X169_PU	X170_PU	X171_PU	X172_PU	X173_PU	X174_PU	X175_PU	X176_PU	X177_PU	X178_PU	X179_PU	X180_PU	X181_PU	X182_PU	X183_PU	X184_PU	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X456_PU	X457_PU	X458_PU	X459_PU	X460_PU	X461_PU	X462_PU	X463_PU	X464_PU	X465_PU	X466_PU	X467_PU	X468_PU	X469_PU	X470_PU	X471_PU	X472_PU	X473_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU
SV_0	2732	83	2928	38394	132	4729	36823	492	336	13806	2389	145	670	168	791	0	3003	17	294253	1804	10303	4253	2350	318	25029	754	5478	366	387	1697	260391	28220	1760	13863	226006	49	18925	28	0	137	657	3269	2899	1046	26	10044	613	31	7131	692	879	169	3063	1983	10292	3254	1277	3134	19557	180900	22	151	1284	713	5535	8330	3303	97371	449	28	11360	486	6251	106	131945	2151	1909	374	27149	261	27297	415	37566	1338	4610	14849	24475	218	84	181	511	15	0	121	871	700	0	943	12842	256	11	7	572	0	272	2046	532	1855	5	36	202	950	369	572	7
SV_1	92126	41	0	497	733	2319	316	1616	0	7227	1506	100	343	86	589	0	353	31	1020	777	318	331	0	67	861	144	301	0	0	33	3310	78	2620	1618	94	1331	3446	747	43	654	122	3680	7708	156	128	5077	61	493	232	1905	873	71	55	1877	330	632	310	4987	253	85	25	63	118	171	0	1213	61	129	205	0	567	46	877	756	599	104	947	177	0	35	680	0	5457	1744	0	446	145	0	125	338	0	164	0	135	3808	141	0	2749	1817	431	163	0	52	0	265	3444	45	1895	84	848	275	28141	90	0	0
SV_2	262	2370	600	9570	43	93	322	4396	141	338	71591	27	1957	119	355	111	234	179	58152	437	58	372	473	237	173	3408	162	86314	4923	649	0	247002	2460	1347	550	323	195	391	22125	260	3191	6433	424	138	482	1383	144	4381	274	985	9354	84	220	880	263	187	606	3226	846	1455	2608	405	93	5614	458	78	2269	1286	136	231	227	5249	222	1767	17186	118904	1752	1478	588	814	181	423	269	13189	322	20	529	491	180	699	99992	0	0	0	10648	865	0	175116	2016	746	272	18	14	0	846	22	373	600	120	0	55	39	338	5358	148
SV_3	0	0	328	338	0	1143	0	0	581	0	1519	0	0	0	0	96	0	0	0	1007	0	0	50	0	0	0	0	155	134	0	0	573	0	2050	486	2988	0	1115	0	0	0	0	4177	0	0	0	0	0	312	259	1203	0	0	16636	167	0	0	0	0	371	0	0	0	124	183	0	0	0	0	0	0	153	822	0	0	0	0	0	401	0	0	125	0	0	134063	0	2216	195	0	0	760	449	0	0	0	1266	0	5155	0	0	0	0	0	0	0	1608	0	4806	0	0	0	8722	530	455	0
SV_4	121	350	47	68	292	28	32	29	675	55	25	233	19	7	3443	52	1049	531	91	66	414	31	366	1855	56	45	18	191	14	635	49	119	48	237	362	533	78	87816	271	5300	710	554	205	474	415	35	43	433	188	59	33	17	313	15	24	23	55	201	107	143	144	0	131	20	11	2134	443	26	103	140	384	0	30	173	123	13	396	35	17	11	34	19	1243	98	0	618	715	29	559	1081	81	72	0	723	2080	92	24	212	2878	1174	28	50	12035	21	670	896	51	10215	91	298	1545	2557	81	113	0
SV_5	105	1468	314905	676	30	18	532	0	16	51	984	0	285	68	0	0	48	0	44	893	0	4880	122	22	237	50	9	0	228	17	617	4519	253	4120	4740	4	0	0	0	0	34	22	220	0	0	90	0	0	1106	557	641	11	138	1555	1576	2546	98	8	341	2447	195	0	0	2011	945	0	26	162	0	0	226	366	409	62	28	35635	35	0	3922	26	38	262	869	101	2761	148	254	0	11	25	0	0	0	0	45	0	0	0	414	24	0	0	0	0	297	252	0	8	0	241	28	122	17	416	0
SV_6	53	2634	3615	308	0	102	84	1274	70	300	0	16	71	0	636	13	260	562	916	0	53	1307	0	42	154	202	7207	135	0	83	92	0	50	110	0	236	82	12007	19304	95	861	794	2508	59	464	111	47	1120	0	179	1241	0	124	0	0	3220	222	41746	47	0	70	391	29	0	163	83	2421	112	533	43	28	0	35	72	132	42	3714	139	0	223	205	551	57	591	0	0	127	43	292	26	1079	0	48	645	6840	594	0	15686	210	110	3452	0	0	133	0	0	3358	87	55	178829	402	93	24795	178	458
SV_7	16	1759	0	591	0	1624	32	0	155185	1610	0	0	0	0	0	67	0	166	51	23	35	48	0	0	55	0	73	143	0	1841	2249	106	10	2226	44	913	7	352	118	480	0	4302	25	742	370	0	0	350	0	0	0	65	2392	45	41	31	0	0	41	88	383	45	1150	0	0	0	2313	24	0	63	0	0	2252	290	47	7	4979	0	41	65	0	0	64	0	2475	16	1950	77	48	0	179	0	0	0	0	351	0	296	44	0	0	0	0	0	0	917	26	360	0	0	0	0	116	246	0
SV_8	53	377	18	78	15	0	98	205	228	0	15	0	0	0	0	67	22	162	57	0	0	36	0	0	0	216	0	454	183	1149	39	3367	612	14	0	1050	0	199718	101	397	4333	852	6674	288	301	6	0	1290	44	0	154	0	277	96	0	0	40	180	206	188	162	0	146	0	12	41	7216	29	0	149	58	170	21	278	190	28	354	45	80	0	93	0	30	195	0	0	64	23	0	86	14706	92	0	0	29	68	0	11542	85	173	2007	35	17210	0	12	0	30	108	115	0	10	137	28	51	20
SV_9	0	512	0	0	0	0	49	867	37	95	75	0	27	0	733	0	0	103	257	0	0	0	0	0	0	441	9495	77	83	54	37	0	0	86	0	137	0	14585	62	36	662	565	0	41	895	69	0	485	0	990	310	0	61	0	0	212	323	312	0	0	55	0	18	0	143	0	3014	45	31	0	0	1306	0	66	27	0	4322	33	64	0	61	0	27	107	0	78	271	105	224	229	85016	0	0	184	65897	2572	0	1622	2115	2586	380	39	0	0	149	147	0	191	0	0	332	412	394	1509	0
