	X000_CYSTINE	X101_OU	X101_PU	X101_S_L	X101_S_R	X102_EC	X102_OU	X102_PU	X102_S	X103_EC_1	X103_EC_2	X103_OU	X103_PU	X103_S	X104_EC	X104_OU	X104_PU	X104_S	X105_EC	X105_S	X105_OU	X105_PU	X106_EC	X106_OU	X106_PU	X106_S	X107_EC	X107_OU	X107_PU1	X107_PU2	X107_S	X108_PU	X109_PU	X110_EC	X110_PU	X110_S	X111_OU	X111_PU	X111_S	X112_EC	X112_OU	X112_PU	X112_S	X113_PU	X114_EC	X114_OU	X114_PU	X114_S	X115_OU	X115_PU	X116_EC	X116_OU	X116_PU	X116_S	X117_PU	X118_PU	X119_EC	X119_OU	X119_PU	X119_S	X120_OU	X120_PU	X121_OU	X121_PU	X122_EC	X122_OU	X122_PU	X122_S_1	X122_S_2	X122_S_3	X123_OU	X123_PU	X124_OU	X124_PU	X125_EC	X125_OU	X125_PU	X125_S	X126_EC	X126_OU	X126_PU	X126_S	X127_EC	X127_OU	X127_PU	X127_S	X128_OU	X128_PU	X129_PU	X130_EC	X130_OU	X130_PU	X130_S	X131_PU	X132_OU	X132_PU	X133_OU	X133_PU	X134_EC	X134_OU	X134_PU	X134_S	X135_OU	X135_PU	X136_EC	X136_OU	X136_PU	X136_S	X137_EC	X137_OU	X137_PU	X137_S	X138_PU	X139_PU	X140_OU	X140_PU	X141_OU	X141_PU	X142_OU	X142_PU	X143_OU	X143_PU	X144_EC	X144_OU	X144_PU	X144_S	X145_OU	X145_PU	X146_OU	X146_PU	X147_EC	X147_OU	X147_PU	X147_S	X148_OU	X148_PU	X149_EC	X149_OU	X149_PU	X149_S	X150_PU	X151_OU	X151_PU	X152_EC	X152_OU	X152_PU	X152_S	X153_EC	X153_OU	X153_PU	X153_S	X154_OU	X154_PU	X155_OU	X155_PU	X156_EC	X156_OU	X156_PU	X156_S_2	X156_S	X157_PU	X158_OU	X158_PU	X158_S	X159_PU	X160_OU	X160_PU	X160_S	X161_OU	X161_PU	X162_EC	X162_OU	X162_PU	X162_S	X163_OU	X163_PU	X164_PU	X165_OU	X165_PU	X166_OU	X166_PU	X167_EC	X167_OU	X167_PU	X167_S	X168_OU	X168_PU	X169_OU	X169_PU	X170_OU	X170_PU	X171_EC	X171_OU	X171_PU	X171_S_1	X171_S_2	X172_EC	X172_OU	X172_PU	X172_S	X173_PU	X174_OU	X174_PU	X175_EC	X175_OU	X175_PU	X175_S	X176_OU	X176_PU	X177_EC	X177_OU	X177_PU	X177_S_1	X177_S_2	X178_EC	X178_OU	X178_PU	X178_S_1	X178_S_2	X179_OU	X179_PU	X180_PU	X181_PU	X182_EC	X182_PU	X182_S	X183_EC	X183_OU	X183_PU	X183_S	X184_EC	X184_OU	X184_PU	X184_S	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X456_PU	X457_PU	X458_PU	X459_PU	X460_PU	X461_PU	X462_PU	X463_PU	X464_PU	X465_PU	X466_PU	X467_PU	X468_PU	X469_PU	X470_PU	X471_PU	X472_PU	X473_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU	DNAB1	DNAB2	DNAB3	PCRB1	PCRB2	PCRB3	SPIKE1_1	SPIKE1_2	SPIKE1_3	SPIKE2_1	SPIKE2_2	SPIKE2_3	SS_28_U	SS_35_A	SS_35_B	SS_35_U	SS_36_A	SS_36_B	SS_36_U	tax.vector
SV_0	10441	11004	2732	12	852	827	124	83	165	30	4062	26	2928	6460	450	6	38394	1061	0	158	3221	132	414	1660	4729	5308	665	324	36823	492	0	336	13806	957	2389	8	24	145	119	0	1553	670	0	168	29	22701	791	206	682	0	226	2522	3003	12	17	294253	462	13	1804	6517	2363	10303	1082	4253	435	24	2350	0	648	8290	18968	318	73	25029	6113	233	754	2822	46	990	5478	1373	147	7156	366	105	634	387	1697	520	42198	260391	177627	28220	3162	1760	317	13863	65	131	226006	0	105	49	1215	429	18925	0	8	6683	28	617	0	137	264	657	1780	3269	312	2899	33034	1046	124	0	26	4361	83	10044	767	613	0	48	31	13	138	7131	100	1792	692	0	879	1133	169	512	22	3063	13812	4311	203	1983	275	11112	10292	23	3254	79	3557	1277	400	44	3134	720	19557	0	180900	21484	22	2501	8063	151	229	376	1284	188	0	713	5535	11472	8330	1512	3303	180	250640	97371	12222	693	449	242	28	17	11360	30	1793	486	425	91	422	106	6251	27254	106	344155	131945	3020	110	2151	11676	83	1909	22	4	374	0	521	20	29	27149	0	13995	1152	261	27297	415	101	37566	96	7	13213	1338	2	2905	537	4610	2054	14849	24475	218	84	181	511	15	0	121	871	700	0	943	12842	256	11	7	572	0	272	2046	532	1855	5	36	202	950	369	572	7	289	88	161	348	898	636	383920	350663	224656	600	18516	2177	1791	32	1251	861	898	1336	1231	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella
SV_1	0	1038	92126	359	5000	137	26	41	0	156	471	121	0	10616	11	127	497	3145	0	0	4	733	805	163	2319	0	87	58	316	1616	0	0	7227	430	1506	121	2	100	110	0	503	343	0	86	0	131	589	208	608	0	7	2731	353	402	31	1020	28	0	777	956	77	318	520	331	42	0	0	169	105748	582	478	67	6	861	1954	27	144	0	0	35	301	819	5	261	0	0	0	0	33	9	0	3310	1739	78	27	2620	36	1618	0	65	94	10	0	1331	5	0	3446	0	148	26473	747	102576	43	654	136	122	2219	3680	271	7708	861	156	21	0	128	0	193	5077	12	61	0	0	493	272	0	232	0	0	1905	3	873	2641	71	177	0	55	4028	51	158	1877	16	940	330	204	632	0	253	310	0	100	4987	477	253	0	85	102	25	434	72	63	73	0	118	69	30	171	0	88	1213	4382	61	0	627	129	1095	217	205	60	0	6	567	74	3111	46	2	0	9	41	877	117	756	108	599	12	80	104	1421	99	947	0	9	177	0	33	0	273	0	17	0	436	35	680	0	63	5457	0	59	247	1744	0	15397	320	0	3994	446	145	0	125	338	0	164	0	135	3808	141	0	2749	1817	431	163	0	52	0	265	3444	45	1895	84	848	275	28141	90	0	0	348	0	0	0	744	14	0	934	138	170859	206457	242551	1700	486	204	883	461	3814	968	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus
SV_2	182	0	262	193	0	292	0	2370	0	0	13	0	600	115	199	60	9570	3624	0	1116	9	43	71	0	93	461	29	0	322	4396	0	141	338	37	71591	0	0	27	57	16	0	1957	29	119	0	369	355	0	0	111	0	0	234	0	179	58152	154	0	437	191	0	58	0	372	141	75	473	0	4662	333	51	237	119	173	0	20	3408	607	119	274	162	63	42	564	86314	0	8	4923	649	0	0	0	42	247002	387	2460	0	1347	0	0	550	157	0	323	0	0	195	41	73	0	391	155	22125	260	10	3191	0	6433	105	424	0	138	0	0	482	307	0	1383	0	144	0	0	4381	140	0	274	0	43	985	77	9354	391	84	191	27	220	1388	9	0	880	35	0	263	0	187	31	0	606	0	9	3226	231	846	86	1455	0	2608	60	0	405	0	16	93	0	11	5614	458	36	78	219	2269	0	17	1286	45	245	136	64	231	83	227	4	23	5249	0	80	212	24	222	13696	1767	0	17186	7	3126	118904	45	17	1752	0	71	1478	0	0	5	0	588	22	1390	0	814	181	423	236	269	8	115	0	13189	81	6	0	322	737	20	529	491	180	699	99992	0	0	0	10648	865	0	175116	2016	746	272	18	14	0	846	22	373	600	120	0	55	39	338	5358	148	0	131	1134	4760	105	207	549	760	158	1104	0	248	991	794	362	653	238	495	1812	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus
SV_3	710	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	338	7196	0	160	0	0	0	0	1143	773	0	0	0	0	11	581	0	0	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	831	0	0	0	0	1007	0	0	0	0	0	0	0	50	0	0	1810	0	0	0	0	816	0	0	1485	0	0	0	0	0	0	155	163	0	134	0	0	95	0	0	573	0	0	0	2050	73	0	486	0	0	2988	0	0	0	0	0	0	1115	0	0	0	330	0	1248	0	0	4177	0	0	0	5	0	12401	0	0	0	0	0	0	0	0	0	312	0	0	259	0	1203	0	0	0	0	0	10319	0	0	16636	0	0	167	430	0	0	245	0	43	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	124	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	157	0	0	822	2734	0	0	0	0	0	0	967	0	0	0	0	0	4	0	0	0	401	0	1619	0	0	0	125	0	0	117	0	0	0	0	4660	821	134063	727716	0	2216	195	0	0	760	449	0	0	0	1266	0	5155	0	0	0	0	0	0	0	1608	0	4806	0	0	0	8722	530	455	0	0	0	36	532	0	0	1926	0	0	0	0	6224	157	1158	427	314	162	127	1315	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus
SV_4	25	116	121	0	2028	0	25	350	17	20	0	129	47	1614	0	0	68	63	0	11	0	292	7272	0	28	22	79	23	32	29	0	675	55	0	25	1176	0	233	489	0	97	19	13	7	0	140	3443	64	390	52	0	35	1049	11	531	91	35	0	66	2555	60	414	1549	31	53	0	366	554	2067	139	18	1855	0	56	0	17	45	50	4	6	18	1396	27	0	191	0	0	14	635	0	0	49	1874	119	56	48	83	237	0	0	362	0	0	533	0	0	78	0	23	17664	87816	469534	271	5300	6	710	101	554	70	205	0	474	74	0	415	31	21	35	9	43	0	0	433	0	31	188	29	0	59	53	33	0	17	0	0	313	81	30	0	15	16	17	24	0	23	0	42	55	46	284	201	136	107	24	143	76	144	695	31	0	14	0	131	28	11	20	11	157	2134	0	443	0	0	26	1698	6	103	0	140	0	384	76	384	0	52	15	106	49	30	106	173	67	123	0	0	13	1496	559	396	0	0	35	73	0	50	25	17	13	141	92	11	34	19	0	1243	27	0	0	98	38	7	0	0	96	618	715	29	559	1081	81	72	0	723	2080	92	24	212	2878	1174	28	50	12035	21	670	896	51	10215	91	298	1545	2557	81	113	0	0	0	13	32	46	188	57	0	11	888	0	38	2437	7639	482	557	312	1591	1787	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus
SV_5	25	48	105	43	57	318	0	1468	0	0	2903	143	314905	3109	8	11	676	130	0	0	140	30	58	133	18	11	0	0	532	0	0	16	51	0	984	0	0	0	11	0	0	285	0	68	7	33	0	8	0	0	0	0	48	0	0	44	226	0	893	215	1889	0	4	4880	0	0	122	0	27	17	21	22	13	237	20	0	50	3464	11	64	9	2302	0	9	0	0	35	228	17	0	93	617	139	4519	171	253	0	4120	0	0	4740	0	0	4	75	10	0	0	12	0	0	70	0	0	40	34	0	22	0	220	231	0	0	0	0	30	0	90	18	0	0	0	0	16	0	1106	0	77	557	19	641	0	11	0	0	138	78	0	10	1555	0	0	1576	0	2546	17	16	98	14	5	8	0	341	0	2447	27	195	104	0	0	23	782	0	0	0	2011	945	13	0	113	26	0	44	162	321	0	0	0	0	25	226	0	0	366	0	0	0	20	409	48	62	178	28	188	6954	35635	21380	0	35	165	0	0	0	25	172	0	3922	0	15	0	26	38	262	18	869	0	0	0	101	0	10	0	2761	7	148	254	0	11	25	0	0	0	0	45	0	0	0	414	24	0	0	0	0	297	252	0	8	0	241	28	122	17	416	0	11	120	148	0	73	7	0	46	234	147	62	7	145	0	110	624	3	0	945	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Proteus
SV_6	34	22	53	251	0	0	0	2634	0	314	206	22	3615	118	0	0	308	71	0	514	0	0	247	0	102	287	0	0	84	1274	1274	70	300	0	0	10	0	16	0	12	0	71	12	0	0	0	636	0	38	13	134	0	260	803	562	916	0	0	0	25	241	53	37	1307	0	0	0	1262	3000	62	0	42	0	154	0	0	202	4500	0	0	7207	2466	43	0	135	276	39	0	83	566	0	92	0	0	0	50	54	110	0	0	0	1969	12	236	0	0	82	972	0	430	12007	322	19304	95	0	861	0	794	0	2508	0	59	0	32	464	70	0	111	6	47	0	18	1120	293	0	0	12	0	179	0	1241	44	0	0	9	124	280	31	0	0	351	0	0	0	3220	0	0	222	0	0	41746	105	47	0	0	0	70	162	3	391	0	120	29	212	0	0	163	0	83	0	2421	0	0	112	59	0	533	37	43	0	28	0	25	0	9	0	0	0	35	894	72	20	132	0	0	42	29	396	3714	153	0	139	23	465	116	0	0	1931	97	29	223	205	551	47	57	0	93	0	591	0	0	47	0	258	0	127	43	292	26	1079	0	48	645	6840	594	0	15686	210	110	3452	0	0	133	0	0	3358	87	55	178829	402	93	24795	178	458	767	0	429	130	0	225	223	0	31	391	0	245	12489	436	235	1910	489	453	358	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella
SV_7	768	1157	16	0	0	0	0	1759	0	0	37	0	0	841	0	0	591	237	0	149	32	0	0	363	1624	471	0	0	32	0	0	155185	1610	0	0	0	0	0	0	0	0	0	9	0	0	56	0	103	0	67	0	0	0	0	166	51	0	0	23	31	0	35	31	48	0	0	0	5	0	585	0	0	0	55	1994	0	0	1443	0	0	73	25	40	18	143	381	31	0	1841	0	333	2249	0	106	61	10	0	2226	116	0	44	0	0	913	0	0	7	12	0	21	352	13	118	480	24	0	9	4302	0	25	19	742	0	0	370	5392	0	0	0	0	0	0	350	0	0	0	0	66	0	0	0	0	65	0	2533	2392	139077	0	107	45	0	0	41	0	31	0	1317	0	0	0	0	0	41	0	88	0	383	0	25	45	17	70	1150	0	0	0	0	29	0	0	2313	0	22	24	0	0	0	56	63	0	0	0	10	0	0	40	0	0	2252	2257	290	0	47	38	6	7	0	0	4979	0	0	0	0	19	10	0	41	0	1196	0	65	0	0	9	64	140	0	35	0	0	12	0	2475	657	16	1950	77	48	0	179	0	0	0	0	351	0	296	44	0	0	0	0	0	0	917	26	360	0	0	0	0	116	246	0	145	12	74	120	0	544	1959	99	0	0	1906	10	15	509	0	0	31	62	774	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella
SV_8	25	0	53	0	31	0	0	377	9	0	0	144	18	27	6	0	78	83	0	0	11	15	1332	7	0	40	14	0	98	205	0	228	0	0	15	102	0	0	10	0	25	0	11	0	0	29	0	43	366	67	5	0	22	26	162	57	0	0	0	180	12	0	38	36	69	13	0	28	226	133	58	0	26	0	0	12	216	90	10	0	0	30	0	0	454	0	8	183	1149	14	0	39	62	3367	868	612	7	14	0	0	0	49	0	1050	0	0	0	0	38	2889	199718	6967	101	397	51	4333	40	852	19	6674	0	288	38	0	301	44	0	6	0	0	19	0	1290	0	0	44	21	15	0	19	154	54	0	21	0	277	68	0	0	96	29	0	0	0	0	0	7	40	38	0	180	47	206	43	188	27	162	17	0	0	0	0	146	10	0	0	12	38	41	0	7216	0	0	29	86	62	0	0	149	0	58	54	38	170	61	0	81	142	21	208	278	17	190	0	0	28	26	0	354	0	0	45	18	0	48	0	80	8	320	357	0	93	0	12	30	28	18	0	195	190	0	0	0	260	0	64	23	0	86	14706	92	0	0	29	68	0	11542	85	173	2007	35	17210	0	12	0	30	108	115	0	10	137	28	51	20	0	0	0	153	17	221	229	21	16	23	0	105	154	997	1206	1152	1612	108	104	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella
SV_9	107	0	0	26	183	0	0	512	0	0	0	0	0	571	0	6	0	240	0	283	9	0	851	8	0	564	136	0	49	867	0	37	95	84	75	0	0	0	69	0	532	27	0	0	0	0	733	11	31	0	0	0	0	0	103	257	0	0	0	172	30	0	0	0	140	81	0	0	20951	143	0	0	61	0	0	3	441	2203	0	35	9495	1858	0	30	77	0	0	83	54	66	0	37	133	0	0	0	0	86	0	0	0	1578	0	137	0	10	0	0	4	209	14585	521	62	36	245	662	0	565	0	0	0	41	0	0	895	140	0	69	0	0	0	0	485	56	0	0	0	0	990	0	310	0	0	0	0	61	555	0	9	0	0	0	0	0	212	55	0	323	0	43	312	34	0	0	0	18	55	511	0	0	4	0	18	0	79	0	143	0	0	18	3014	0	18	45	352	109	31	0	0	0	0	0	0	1306	0	47	0	24	0	2375	66	0	27	0	0	0	264	581	4322	21	0	33	0	0	0	0	64	1222	230	35	0	61	0	0	27	0	0	0	107	48	0	0	0	494	78	271	105	224	229	85016	0	0	184	65897	2572	0	1622	2115	2586	380	39	0	0	149	147	0	191	0	0	332	412	394	1509	0	77	0	0	224	0	166	387	0	0	3631	0	43	0	150	89	463	193	62	0	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella
